epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3723.41,1.12587,0.95182,2.32681,0.88454,0.77324,0.85465,0.58894,1.15475,0.79621,2.41783,0.000848969,0.000848969,0.000848969
43,3814.18,1.13343,0.96298,2.34331,0.89672,0.77944,0.86082,0.59423,1.15807,0.78939,2.40725,0.000834822,0.000834822,0.000834822
44,3904.5,1.13419,0.96678,2.37053,0.89666,0.78121,0.8651,0.59868,1.13312,0.77428,2.37881,0.000820675,0.000820675,0.000820675
45,3994.51,1.1175,0.94706,2.34307,0.88784,0.77256,0.85524,0.59347,1.14053,0.78141,2.40456,0.000806528,0.000806528,0.000806528
46,4084.73,1.09722,0.91302,2.29659,0.88774,0.77878,0.85634,0.59827,1.13256,0.7816,2.39653,0.00079238,0.00079238,0.00079238
47,4174.75,1.1046,0.91525,2.31538,0.88409,0.79022,0.85895,0.60122,1.12081,0.77483,2.39881,0.000778233,0.000778233,0.000778233
48,4264.99,1.10894,0.91932,2.31953,0.8985,0.7728,0.86034,0.60301,1.13003,0.77969,2.39096,0.000764086,0.000764086,0.000764086
49,4357.18,1.10101,0.92022,2.30986,0.86983,0.80051,0.86645,0.60801,1.12587,0.7659,2.39015,0.000749939,0.000749939,0.000749939
50,4468.87,1.08703,0.90499,2.31969,0.91356,0.7717,0.86545,0.60876,1.11837,0.75272,2.37638,0.000735792,0.000735792,0.000735792
51,4553.22,1.09099,0.90687,2.29746,0.89477,0.79741,0.86909,0.60933,1.11236,0.76037,2.37384,0.000721645,0.000721645,0.000721645
52,4627.82,1.08183,0.89544,2.29345,0.88141,0.79929,0.86381,0.61012,1.1131,0.75111,2.3816,0.000707498,0.000707498,0.000707498
53,4703.04,1.07108,0.88331,2.26729,0.90245,0.78392,0.8653,0.61367,1.12127,0.75689,2.38708,0.000693351,0.000693351,0.000693351
